,song_title,artists,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,song_and_artist
9684,bad idea!,girl in red,57j65yC2HggQfmYNc6rdOK,0.513,0.807,1,-6.095,1,0.0481,0.0289,0.0548,0.24600000000000002,0.419,162.026,219638,bad idea! - girl in red
9685,midnight love,girl in red,32XaqPVTVkkuOiOPQZ3SpA,0.284,0.5379999999999999,2,-9.894,0,0.0886,0.7170000000000001,0.105,0.111,0.259,179.708,193929,midnight love - girl in red
9686,girls,girl in red,04OSnqlwlBJMvidYccraVz,0.518,0.447,5,-14.460999999999999,1,0.0338,0.23,0.0426,0.171,0.792,150.059,198400,girls - girl in red
9687,summer depression,girl in red,3SEZEyvEALlomED5xFeqOs,0.693,0.308,9,-15.635,1,0.0442,0.645,0.47600000000000003,0.127,0.677,129.94299999999998,151693,summer depression - girl in red
9688,heart of glass (live from the iheart festival),Miley Cyrus,5GK1GYXH16RdfmltogHhAk,0.58,0.9079999999999999,4,-5.303,1,0.0341,0.000335,4.84e-05,0.087,0.42700000000000005,115.016,213672,Heart Of Glass (Live from the iHeart Festival) - Miley Cyrus
9689,flowers,Miley Cyrus,0yLdNVWF3Srea0uzk55zFn,0.7070000000000001,0.6809999999999999,0,-4.325,1,0.0668,0.0632,5.15e-06,0.0322,0.6459999999999999,117.999,200455,Flowers - Miley Cyrus
9690,kill bill,SZA,3OHfY25tqY28d16oZczHc8,0.644,0.728,8,-5.75,1,0.0351,0.0543,0.16899999999999998,0.161,0.43,88.993,153947,Kill Bill - SZA
9691,nobody gets me,SZA,5Y35SjAfXjjG0sFQ3KOxmm,0.358,0.284,7,-8.285,1,0.0285,0.805,0.0,0.183,0.276,99.796,180853,Nobody Gets Me - SZA
9692,shirt,SZA,2wSTnntOPRi7aQneobFtU4,0.848,0.512,3,-7.72,0,0.102,0.228,0.00232,0.0879,0.5720000000000001,120.009,181840,Shirt - SZA
9693,i hate u,SZA,2aJnyNu4PQxQ2lyj5boiMG,0.5329999999999999,0.41700000000000004,7,-8.665,0,0.14800000000000002,0.514,0.0,0.114,0.376,106.53399999999999,173907,I Hate U - SZA
9694,good days,SZA,4PMqSO5qyjpvzhlLI5GnID,0.461,0.6509999999999999,1,-8.81,0,0.0568,0.418,1.26e-05,0.782,0.38299999999999995,121.07,278480,Good Days - SZA
9695,superhero (heroes & villains) [with future & chris brown],Metro Boomin,0vjeOZ3Ft5jvAi9SBFJm1j,0.526,0.606,5,-5.3,0,0.259,0.152,2.36e-06,0.19399999999999998,0.49200000000000005,116.62200000000001,182667,Superhero (Heroes & Villains) [with Future & Chris Brown] - Metro Boomin
9696,creepin' (with the weeknd & 21 savage),Metro Boomin,2dHHgzDwk4BJdRwy9uXhTO,0.715,0.62,1,-6.005,0,0.0484,0.41700000000000004,0.0,0.0822,0.172,97.95,221520,Creepin' (with The Weeknd & 21 Savage) - Metro Boomin
9697,rich flex,Drake,1bDbXMyjaUIooNwFE9wn0N,0.561,0.52,11,-9.342,0,0.244,0.0503,1.86e-06,0.355,0.424,153.15,239360,Rich Flex - Drake
9698,pussy & millions (feat. travis scott),Drake,2KLwPaRDOB87XOYAT2fgxh,0.7490000000000001,0.63,4,-6.652,0,0.11599999999999999,0.0623,0.0,0.353,0.445,122.03,242027,Pussy & Millions (feat. Travis Scott) - Drake
9699,major distribution,Drake,46s57QULU02Voy0Kup6UEb,0.9079999999999999,0.546,8,-10.491,0,0.32299999999999995,0.0127,0.0,0.0707,0.225,131.016,170502,Major Distribution - Drake
9700,on bs,Drake,34tz0eDhGuFErIuW3q4mPX,0.841,0.358,9,-8.368,1,0.591,0.0201,0.0,0.39,0.32899999999999996,158.014,261544,On BS - Drake
